District,Site,Site_Type,Site_EQHazardLevel,Site_EQRiskLevel,Site_Soil,Site_Liquefaction,Site_GroundMotionPercentile,Site_HasGeotechnicalStudy,Site_ShearWaveVelocity,Building,Building_Type,Building_HasEvaluation,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_NumberOfFloors,BuildingArea_ConstructionType,BuildingArea_VerticalIrregularity,BuildingArea_HorizontalIrregularity,BuildingArea_ExistingRisk,BuildingArea_HasRetrofit,BuildingArea_RetrofitRisk,BuildingArea_CodeRisk
Aberdeen,A.J. West Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91,Yes,128,1952 Building,Elementary School - Single Story,Yes,1952,Covered Play,1952,<1973,1,,Severe,Yes,,No,,
Aberdeen,A.J. West Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91,Yes,128,1952 Building,Elementary School - Single Story,Yes,1952,Main Area,1952,<1973,1,"Wood, Commercial and Industrial (>5,000 square feet)",None,None,Very High,No,Low,Low
Aberdeen,A.J. West Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91,Yes,128,Annex Building,Elementary School - Single Story,Yes,1966,Main Area,1966,<1973,1,"Wood, Commercial and Industrial (>5,000 square feet)",None,None,Very High,No,Low,Low
Aberdeen,Central Park Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,97,Yes,339,Annex Building,Elementary School - Single Story,Yes,1966,Main Area,1966,<1973,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,None,None,Very High,No,Low,Low
Aberdeen,Central Park Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,97,Yes,339,Covered Play 1,Covered Play,Yes,1956,Covered Play 1,1956,<1973,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Central Park Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,97,Yes,339,Main Building,Elementary School - Single Story,Yes,1956,Main Area,1956,<1973,1,"Wood, Commercial and Industrial (>5,000 square feet)",None,None,Very High,No,Low,Low
Aberdeen,Hopkins Building (Harbor High School),High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91,Yes,140,Hopkins Building,High School - Single Story,Yes,1956,Main Area,1956,<1973,1,Concrete Shear Walls,None,Yes,Very High,No,Low,Low
Aberdeen,J. M. Weatherwax High School,High School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,91,Yes,109,Greenhouse #1,Greenhouse,No,1999,Main Area,1999,Unknown,1,,,,,No,,
Aberdeen,J. M. Weatherwax High School,High School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,91,Yes,109,Main Building,High School - Multi-Story,Yes,2007,JM Weatherwax,2007,2003-Present,,Steel Braced Frame,Severe,Yes,,No,,
Aberdeen,J. M. Weatherwax High School,High School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,91,Yes,109,Main Building,High School - Multi-Story,Yes,2007,Sam Benn Gym,1964,<1973,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,None,None,Very High,No,Low,Low
