District,Site,Site_Type,Site_EQHazardLevel,Site_EQRiskLevel,Site_Soil,Site_Liquefaction,Site_GroundMotionPercentile,Site_HasGeotechnicalStudy,Site_ShearWaveVelocity,Building,Building_Type,Building_HasEvaluation,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_NumberOfFloors,BuildingArea_ConstructionType,BuildingArea_VerticalIrregularity,BuildingArea_HorizontalIrregularity,BuildingArea_ExistingRisk,BuildingArea_HasRetrofit,BuildingArea_RetrofitRisk,BuildingArea_CodeRisk
Aberdeen,A.J. West Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91.0,Yes,128.0,1952 Building,Elementary School - Single Story,Yes,1952,Covered Play,1952.0,<1973,1.0,,Severe,Yes,,No,,
Aberdeen,A.J. West Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91.0,Yes,128.0,1952 Building,Elementary School - Single Story,Yes,1952,Main Area,1952.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,Very High,No,Low,Low
Aberdeen,A.J. West Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91.0,Yes,128.0,Annex Building,Elementary School - Single Story,Yes,1966,Main Area,1966.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,Very High,No,Low,Low
Aberdeen,Central Park Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,97.0,Yes,339.0,Annex Building,Elementary School - Single Story,Yes,1966,Main Area,1966.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Very High,No,Low,Low
Aberdeen,Central Park Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,97.0,Yes,339.0,Covered Play 1,Covered Play,Yes,1956,Covered Play 1,1956.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Central Park Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,97.0,Yes,339.0,Main Building,Elementary School - Single Story,Yes,1956,Main Area,1956.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,Very High,No,Low,Low
Aberdeen,Hopkins Building (Harbor High School),High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,91.0,Yes,140.0,Hopkins Building,High School - Single Story,Yes,1956,Main Area,1956.0,<1973,1.0,Concrete Shear Walls,,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90.0,No,,Covered Play 1,Covered Play,Yes,1955,Covered Play 1,1955.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90.0,No,,Main Building,Elementary School - Single Story,Yes,1955,Addition,1974.0,Unknown,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90.0,No,,Main Building,Elementary School - Single Story,Yes,1955,Addition,1976.0,Unknown,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90.0,No,,Main Building,Elementary School - Single Story,Yes,1955,Covered Play,1976.0,Unknown,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90.0,No,,Main Building,Elementary School - Single Story,Yes,1955,Main Area,1955.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Arlington,Eagle Creek Elementary School,Elementary School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,No,,Covered Play,Covered Play,No,1989,Covered Play,1989.0,Unknown,1.0,Reinforced Concrete Moment Resisting Frames,Severe,,Moderate,No,Low,Low
Arlington,Eagle Creek Elementary School,Elementary School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,No,,Main Building,Elementary School - Single Story,No,1989,Main Area,1989.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,Yes,Moderate,No,Low,Low
