District,Site,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_ConstructionType,BuildingArea_HasRetrofit
Puyallup,Spinning Elementary School,1890,Main Area,1890,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,B. F. Day Elementary School,1892,Unit A - Main Building,1892,<1973,Unreinforced Masonry Bearing Walls,Yes
Seattle,Mann (Nova) High School,1902,Unit A - Main Building ,1902,<1973,Unreinforced Masonry Bearing Walls,Yes
Tacoma,Tacoma School of the Arts-Pacific,1904,Main Area,1904,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Emerson Elementary School,1909,Unit A - Main Building,1909,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Gatewood Elementary School,1910,Unit A - Main Building,1910,<1973,Unreinforced Masonry Bearing Walls,Yes
Spokane,Adams Elementary School,1910,Main Area,1910,<1973,Unreinforced Masonry Bearing Walls,No
Tacoma,Fern Hill Elementary School,1911,Main Area,1911,<1973,Unreinforced Masonry Bearing Walls,No
Tacoma,Oakland High School,1911,Main Area,1911,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Franklin High School,1912,Unit A - Main Building,1912,<1973,Unreinforced Masonry Bearing Walls,Yes
Seattle,McDonald Int'l Elementary School,1913,Unit A - Main Building ,1913,<1973,Unreinforced Masonry Bearing Walls,Yes
Seattle,McGilvra Elementary School,1913,Unit A - Main Building ,1913,<1973,Unreinforced Masonry Bearing Walls,Yes
Seattle,Seward (TOPS) K-8 School,1917,Unit A - 1917 Building,1917,<1973,Unreinforced Masonry Bearing Walls,Yes
Centralia,Edison Elementary School,1918,Main Area,1918,<1973,Unreinforced Masonry Bearing Walls,No
Centerville,Centerville Elementary School,1919,Main Area,1919,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Lowell Elementary School,1919,Unit A - Main Building ,1919,<1973,Unreinforced Masonry Bearing Walls,Yes
Tacoma,Willie Stewart Academy,1919,Main Area,1919,<1973,Unreinforced Masonry Bearing Walls,No
Washtucna,Washtucna Elementary High School,1920,Main Area,1920,<1973,Unreinforced Masonry Bearing Walls,No
Dixie,Dixie Elementary School,1921,Main Area,1921,<1973,Unreinforced Masonry Bearing Walls,No
La Conner,La Conner High School,1921,Main Area,1921,<1973,Unreinforced Masonry Bearing Walls,No
La Conner,La Conner Middle School (form. Elem site.),1921,Main Area,1921,<1973,Unreinforced Masonry Bearing Walls,No
Dayton,Dayton High School,1923,Main Area,1923,<1973,Unreinforced Masonry Bearing Walls,No
Palisades,Palisades Elementary School,1923,Main Area,1923,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Dunlap Elementary School,1924,Unit B - Main Building,1924,<1973,Unreinforced Masonry Bearing Walls,Yes
Evaline,Evaline Elementary School,1926,Main Area,1926,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Bryant Elementary School,1926,Unit B - Main Building,1926,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,John Marshall,1926,Unit B - Main Building ,1926,<1973,Unreinforced Masonry Bearing Walls,No
Seattle,Roxhill Elementary (at former Hughes ES),1926,Unit B - Main Building ,1926,<1973,Unreinforced Masonry Bearing Walls,Yes
Chehalis,R.E. Bennett Elementary School,1927,Main Area,1927,<1973,Concrete Frame Buildings with URM Infill Walls,No
Longview,R. A. Long High School,1927,Main Area,1927,<1973,Unreinforced Masonry Bearing Walls,No
Puyallup,Puyallup High School,1927,Main Area,1927,<1973,Unreinforced Masonry Bearing Walls,No
Port Townsend,Port Townsend High School,1928,Main Area,1928,<1973,Unreinforced Masonry Bearing Walls,No
Spokane,Havermale (Montessori),1928,Addition 1965,1965,<1973,Unreinforced Masonry Bearing Walls,No
Spokane,Havermale (Montessori),1928,Original,1928,<1973,Unreinforced Masonry Bearing Walls,No
Spokane,Libby Center,1928,Main Area,1928,<1973,Unreinforced Masonry Bearing Walls,No
Carbonado,Carbonado Historical School 19,1929,Main Area,1929,<1973,Unreinforced Masonry Bearing Walls,Yes
Seattle,Monroe (Salmon Bay K-8),1930,Unit C - Main Building ,1930,<1973,Unreinforced Masonry Bearing Walls,Yes
Green Mountain,Green Mountain School,1932,Main Area,1932,<1973,Unreinforced Masonry Bearing Walls,No
Wilson Creek,Wilson Creek K-12,1932,Main Area,1932,<1973,Unreinforced Masonry Bearing Walls,No
Port Townsend,Port Townsend High School,1934,Main Area,1934,<1973,Unreinforced Masonry Bearing Walls,No
