District,Site,Site_EQRiskLevel,BuildingArea_HasRetrofit
Aberdeen,A.J. West Elementary School,Very High,No
Aberdeen,Central Park Elementary School,Very High,No
Aberdeen,Hopkins Building (Harbor High School),Very High,No
Aberdeen,J. M. Weatherwax High School,,No
Aberdeen,McDermoth Elementary School,,Yes
Aberdeen,Miller Junior High School,,No
Aberdeen,Robert Gray Elementary School,,No
Aberdeen,Stevens Elementary School,Very High,No
Adna,Adna Elementary School,,No
Adna,Adna Middle High School,,No
Almira,Almira Elementary School,,No
Anacortes,Anacortes High School,,No
Anacortes,Anacortes Middle School,,No
Anacortes,Fidalgo Elementary School,,No
Anacortes,Island View Elementary School,,No
Anacortes,Mount Erie Elementary School,,No
Anacortes,Whitney Early Childhood Education Center,,No
Arlington,Arlington High School,,No
Arlington,Eagle Creek Elementary School,High,No
Arlington,Haller Middle School,Very High,No
Arlington,Kent Prairie Elementary School,Low,No
Arlington,Pioneer Elementary School,,No
Arlington,Post Middle School,High,No
Arlington,Presidents Elementary School,,No
Arlington,Trafton Elementary School,,No
Asotin-Anatone,Asotin K-12,,No
Auburn,Alpac Elementary School,,No
Auburn,Arthur Jacobsen Elementary School,,No
Auburn,Auburn High School,,No
Auburn,Auburn Mountainview High School,,No
Auburn,Auburn Riverside High School,,No
Auburn,Bowman Creek Elementary ,,No
Auburn,Cascade Middle School,,No
Auburn,Chinook Elementary School,,No
Auburn,Dick Scobee Elementary ,,No
Auburn,Evergreen Heights Elementary School,,No
Auburn,Gildo Rey Elementary School,,No
Auburn,Hazelwood Elementary School,,No
Auburn,Ilalko Elementary School,,No
Auburn,Lake View Elementary School,,No
Auburn,Lakeland Hills Elementary School,,No
Auburn,Lea Hill Elementary School,,No
Auburn,Mt Baker Middle School,,No
Auburn,Olympic Middle School ,,No
Auburn,Pioneer Elementary School (old),,No
Auburn,Rainier Middle School,,No
Auburn,Terminal Park Elementary School,,No
Auburn,Washington Elementary School,,No
Auburn,West Auburn Senior High School,,No
Bainbridge Island,Bainbridge High School,,No
Bainbridge Island,Captain Charles Wilkes Elementary School,,No
Bainbridge Island,Captain Johnston Blakely Elementary School,,No
Bainbridge Island,Commodore Options School,,No
Bainbridge Island,Ordway Elementary School,,No
Bainbridge Island,Sakai Intermediate School,,No
Bainbridge Island,Woodward Middle School,,No
Battle Ground,Amboy Middle School,,No
Battle Ground,Battle Ground High School,,No
Battle Ground,Captain Strong Primary School,,No
Battle Ground,CASEE School,,No
Battle Ground,Chief Umtuch Middle School,,No
Battle Ground,Daybreak Primary & Middle Schools,,No
Battle Ground,Glenwood Heights Primary School,,No
Battle Ground,Laurin Middle School,,No
Battle Ground,Maple Grove K-8,Moderate,No
Battle Ground,Pleasant Valley Primary & Middle Schools,,No
Battle Ground,Prairie High School,,No
Battle Ground,River Homelink,,No
Battle Ground,Summit View High School,,No
Battle Ground,Tukes Valley Primary & Middle Schools,,No
Battle Ground,Yacolt Primary School,,No
Bellevue,Ardmore Elementary School,,No
Bellevue,Bellevue High School,,No
Bellevue,Bellewood Elementary - Temp Clyde Hill,,No
Bellevue,Bennett Elementary School,,No
Bellevue,Big Picture School (Former Robinswood MS),,No
Bellevue,Cherry Crest Elementary School,,No
Bellevue,Chinook Middle School,,No
Bellevue,Clyde Hill Elementary School,,No
Bellevue,Eastgate Elementary School,,No
Bellevue,Enatai Elementary School - New,,No
Bellevue,Highland Middle School,,No
Bellevue,Interlake Senior High School,,No
Bellevue,International School at Former Hyak MS,,No
Bellevue,Jing Mei ES - Former Newport Hts ES,,No
Bellevue,Lake Hills Elementary School,,No
Bellevue,Medina Elementary School,,No
Bellevue,New Newport Heights Elementary School,,No
Bellevue,Newport Senior High School,,No
Bellevue,Odle Middle School - New,,No
Bellevue,Phantom Lake Elementary School,,No
Bellevue,Ringdall Middle School - Former Highland Temp Site,,No
Bellevue,Sammamish Senior High School,,No
Bellevue,Sherwood Forest Elementary School,,No
Bellevue,Somerset Elementary School,,No
Bellevue,Spiritridge Elementary School,,No
Bellevue,Stevenson Elementary School,,No
Bellevue,Sunset Elementary (Puesta del Sol),,No
Bellevue,Three Points Elementary - Leased,,No
Bellevue,Tillicum Middle School,,No
Bellevue,Tyee Middle School,,No
Bellevue,Wilburton Elementary,,No
Bellevue,Woodridge Elementary School,,No
Bellingham,Alderwood Elementary School,,No
Bellingham,Bellingham Family Partnership Program at Larrabee,,No
Bellingham,Bellingham High School,,No
Bellingham,Birchwood Elementary School,,No
Bellingham,Carl Cozier Elementary School,,No
Bellingham,Columbia Elementary School,,No
Bellingham,Cordata Elementary School,,No
Bellingham,Fairhaven Middle School,,No
Bellingham,Geneva Elementary School,,No
Bellingham,Happy Valley Elementary School ,,No
Bellingham,Kulshan Middle School,,No
Bellingham,Lowell Elementary School,,No
Bellingham,Northern Heights Elementary School,,No
Bellingham,Options High School,,No
Bellingham,Parkview Elementary School,,No
Bellingham,Roosevelt Elementary School,,No
Bellingham,Sehome High School ,,No
Bellingham,Shuksan Middle School,,No
Bellingham,Silver Beach Elementary School,,No
Bellingham,Squalicum High School,,No
Bellingham,Sunnyland Elementary School,,No
Bellingham,Wade King Elementary School,,No
Bellingham,Whatcom Middle School,,No
Benge,Benge Elementary School,,No
Bethel,Bethel High School,,No
Bethel,Bethel Middle School,,No
Bethel,Camas Prairie Elementary School,Moderate,No
Bethel,Cedarcrest Middle School,,No
Bethel,Centennial Elementary School,,No
Bethel,Clover Creek Elementary School,,No
Bethel,Cougar Mountain Middle School,,No
Bethel,Elk Plain School of Choice,,No
Bethel,Evergreen Elementary School,,No
Bethel,Frederickson Elementary School,,No
Bethel,Frontier Middle School,,No
Bethel,Graham Elementary School,,No
Bethel,Graham-Kapowsin High School,,No
Bethel,Kapowsin Elementary School,,No
Bethel,Liberty Middle School,,No
Bethel,Naches Trail Elementary School,,No
Bethel,Nelson Elementary School,,No
Bethel,North Star Elementary School,,No
Bethel,Pioneer Valley Elementary School,,No
Bethel,Rocky Ridge Elementary School,,No
Bethel,Roy Elementary School,,No
Bethel,Shining Mountain Elementary School,,No
Bethel,Spanaway Elementary School,,No
Bethel,Spanaway Lake High School,,No
Bethel,Spanaway Middle School,,No
Bethel,Thompson Elementary School,,No
Bickleton,Bickleton Elementary and High School,,No
Blaine,Blaine Elementary School,Very High,No
Blaine,Blaine High School,Very High,No
Blaine,Blaine High School,Very High,Yes
Blaine,Blaine Middle School,Very High,No
Blaine,Blaine Middle School,Very High,Yes
Blaine,Blaine Primary School,Low,No
Blaine,Point Roberts Primary School,Low,No
Boistfort,Boistfort Elementary,Very High,No
Bremerton,Armin Jahr Elementary School,,No
Bremerton,Bremerton High School,,No
Bremerton,Crownhill Elementary School,,No
Bremerton,Kitsap Lake Elementary School,,No
Bremerton,Mountain View Middle School,,No
Bremerton,Naval Avenue Early Learning Center,,No
Bremerton,Renaissance Alternative High School,,No
Bremerton,View Ridge Elementary Arts Academy,,No
Bremerton,West Hills S.T.E.M. Academy,,No
Brewster,Brewster Elementary School,,No
Brewster,Brewster Jr / Sr High School,High,No
Bridgeport,Bridgeport Elementary School,,No
Bridgeport,Bridgeport High School,,No
Bridgeport,Bridgeport Middle School,,No
Brinnon,Brinnon Elementary School,,No
Burlington-Edison,Allen Elementary School,,No
Burlington-Edison,Bay View Elementary School,,No
Burlington-Edison,Burlington-Edison High School,Very High,No
Burlington-Edison,Edison Elementary School,,No
Burlington-Edison,Lucille Umbarger Elementary School,,No
Burlington-Edison,West View Elementary School,,No
Camas,Camas High School,,No
Camas,Discovery High School,,No
Camas,Dorothy Fox Elementary School,,No
Camas,Grass Valley Elementary School,,No
Camas,Hayes Freedom High School,,No
Camas,Helen Baller Elementary School,,No
Camas,Lacamas Heights Elementary School,,No
Camas,Lacamas Lake Elementary School,,No
Camas,Liberty Middle School,,No
Camas,Odyssey Middle School,,No
Camas,Prune Hill Elementary School,,No
Camas,Skyridge Middle School,,No
Camas,Woodburn Elementary School,,No
Cape Flattery,Clallam Bay High and Elementary School,Very High,No
Cape Flattery,Neah Bay Elementary School,Very High,No
Cape Flattery,Neah Bay Junior/ Senior High School,Very High,No
Carbonado,Carbonado Historical School 19,Very High,No
Carbonado,Carbonado Historical School 19,Very High,Yes
Cascade,Alpine Lakes Elementary School (new),,No
Cascade,Beaver Valley School,,No
Cascade,Cascade High School,,No
Cascade,Icicle River Middle School,,No
Cascade,Peshastin-Dryden Elementary School,,No
Cashmere,Cashmere High School,,No
Cashmere,Cashmere Middle School,,No
Cashmere,Vale Elementary School,,No
Castle Rock,Castle Rock Elementary School,,No
Castle Rock,Castle Rock High School,,No
Castle Rock,Castle Rock Middle School,,No
Centerville,Centerville Elementary School,,No
Central Kitsap,Bremerton Center,Moderate,No
Central Kitsap,Brownsville Elementary,Very High,No
Central Kitsap,Central Kitsap High-Middle,,No
Central Kitsap,Clear Creek Elementary School,Very High,No
Central Kitsap,Cottonwood Elementary School,Very High,No
Central Kitsap,Cougar Valley Elementary,High,No
Central Kitsap,Emerald Heights Elementary,Moderate,No
Central Kitsap,Esquire Hills Elementary,High,No
Central Kitsap,Fairview Middle School,Very High,No
Central Kitsap,Green Mountain Elementary,High,No
Central Kitsap,Jenne Wright Administration,Very High,No
Central Kitsap,"John D. ""Bud"" Hawk Elementary at Jackson Park",Low,No
Central Kitsap,Klahowya Secondary,,No
Central Kitsap,Olympic High School,,No
Central Kitsap,Pinecrest Elementary,Moderate,No
Central Kitsap,Ridgetop Middle School,High,No
Central Kitsap,Silver Ridge Elementary,Low,No
Central Kitsap,Silverdale Elementary,Moderate,No
Central Kitsap,Woodlands Elementary,High,No
Central Valley,Adams Elementary School,Low,No
Central Valley,Bowdish Middle School,Low,No
Central Valley,Broadway Elementary School,Low,No
Central Valley,Central Valley High School,Low,No
Central Valley,Central Valley Kindergarten Center,Moderate,No
Central Valley,Chester Elementary School,Moderate,No
Central Valley,Evergreen Middle School,Low,No
Central Valley,Greenacres Elementary School,Low,No
Central Valley,Greenacres Middle School,Low,No
Central Valley,Horizon Middle School,Low,No
Central Valley,Liberty Creek Elementary School,Low,No
Central Valley,Liberty Lake Elementary School,Low,No
Central Valley,McDonald Elementary School,Low,No
Central Valley,Mica Peak High School/Early Learning Center,Low,No
Central Valley,North Pines Middle School (new),Low,No
Central Valley,Opportunity Elementary School,Low,No
Central Valley,Ponderosa Elementary School (new),Low,No
Central Valley,Progress Elementary School,Moderate,No
Central Valley,Ridgeline High ,Low,No
Central Valley,Riverbend Elementary School,Low,No
Central Valley,Selkirk Middle ,Low,No
Central Valley,South Pines Elementary School,Low,No
Central Valley,Summit School,,No
Central Valley,Sunrise Elementary School,Low,No
Central Valley,University Elementary School,Low,No
Central Valley,University High School,Low,No
Centralia,Centralia High School,,No
Centralia,Centralia Middle School,,No
Centralia,Edison Elementary School,,No
Centralia,Fords Prairie Elementary School,,No
Centralia,Jefferson Lincoln Elementary School,,No
Centralia,Oakview Elementary School,,No
Centralia,Washington Elementary School,,No
Chehalis,Cascade Elementary School,,No
Chehalis,Chehalis Middle School,,No
Chehalis,James W. Lintott Elementary School,,Yes
Chehalis,Olympic Elementary School,Very High,No
Chehalis,Orin C. Smith Elementary School,,No
Chehalis,R.E. Bennett Elementary School,Very High,No
Chehalis,W. F. West High School,Very High,No
Cheney,Betz Elementary School,,No
Cheney,Cheney High School,,No
Cheney,Cheney Middle School,,No
Cheney,Salnave Elementary School,,No
Cheney,Snowdon Elementary School,,No
Cheney,Sunset Elementary School,,No
Cheney,Three Springs High School,,No
Cheney,Westwood Middle School,,No
Cheney,Windsor Elementary,,No
Chewelah,Gess Elementary School,,No
Chewelah,Jenkins Senior High School,,No
Chief Leschi,Chief Leschi Schools Pre-K-12,,No
Chimacum,Chimacum Creek Primary School,,No
Chimacum,Chimacum Elementary School,,No
Chimacum,Chimacum High School,,No
Chimacum,Chimacum Middle School,Very High,No
Clarkston,Charles Francis Adams High School,,No
Clarkston,Educational Opportunity Center,,No
Clarkston,Grantham Elementary School,,No
Clarkston,Heights Elementary School,,No
Clarkston,Highland Elementary School,,No
Clarkston,Lincoln Middle School,,No
Clarkston,Parkway Elementary School,,No
Cle Elum-Roslyn,Cle Elum Roslyn Elementary / Middle school,Moderate,No
Cle Elum-Roslyn,Cle Elum Roslyn High School,,No
Cle Elum-Roslyn,Swiftwater Alternative High School,Low,No
Clover Park,Beachwood Elementary School,,No
Clover Park,Carter Lake Elementary School,,No
Clover Park,Clover Park Early Learning Program,,No
Clover Park,Clover Park High School,,No
Clover Park,Custer Elementary School,,No
Clover Park,Dower Elementary School,,No
Clover Park,Evergreen Elementary,,No
Clover Park,Four Heroes / Harrison Prep School,,No
Clover Park,Hillside Elementary School,,No
Clover Park,Hudtloff Middle School,,No
Clover Park,Idlewild Elementary School,,No
Clover Park,Lake Louise Elementary School,,No
Clover Park,Lakes High School,,No
Clover Park,Lakeview Elementary School,,No
Clover Park,Lochburn Middle School,,No
Clover Park,Meriwether Elementary,,No
Clover Park,Oakbrook Elementary School,Very High,No
Clover Park,Park Lodge Elementary School,,No
Clover Park,Rainier Elementary,,No
Clover Park,Thomas Middle School,,No
Clover Park,Tillicum Elementary School,,No
Clover Park,Tyee Park Elementary School,,No
Clover Park,Woodbrook Middle School,,No
Colfax,Colfax High School,,No
Colfax,Leonard M Jennings Elementary School,,No
College Place,College Place High and John Sager Middle School,,No
College Place,Davis Elementary,,No
Colton,Colton School,,No
Columbia (Stevens),Columbia High And Elementary School,,No
Columbia (Walla Walla),Columbia Elementary School,Moderate,No
Columbia (Walla Walla),Columbia High School,,No
Columbia (Walla Walla),Columbia Middle School,Moderate,No
Colville,Colville Junior High School,Low,No
Colville,Colville Senior High School,,No
Colville,Fort Colville Elementary School,Low,No
Colville,Hofstetter Elementary School,Low,No
Concrete,Concrete High School,Low,No
Concrete,Concrete K-6 School,Low,No
Conway,Conway School,,Yes
Cosmopolis,Cosmopolis Elementary School,Very High,No
Coulee-Hartline,Almira Coulee Hartline High School,,No
Coulee-Hartline,Coulee City Elementary School,,No
Coupeville,Coupeville Elementary School,Very High,No
Coupeville,Coupeville High School,Very High,No
Coupeville,Coupeville Middle School,Low,No
Crescent,Crescent School,,No
Creston,Creston Junior Senior High School,,No
Curlew,Curlew Elementary and High School,,No
Cusick,Bess Herian Elementary School,,No
Cusick,Cusick Junior Senior High School,,No
Damman,Damman Elementary School,,No
Darrington,Darrington Elementary School,,No
Darrington,Darrington Senior High School,,No
Davenport,Davenport Elementary & Middle School,,No
Davenport,Davenport Senior High School,Low,No
Dayton,Dayton High School,Moderate,No
Dayton,Dayton K-8 School,Low,No
Deer Park,Arcadia Elementary School,,No
Deer Park,Clayton Home Link,,No
Deer Park,Deer Park Elementary School,,No
Deer Park,Deer Park High School,,No
Deer Park,Deer Park Middle School,,No
Dieringer,Dieringer Heights Elementary School,,No
Dieringer,Lake Tapps Elementary School,,No
Dieringer,North Tapps Middle School,,No
Dixie,Dixie Elementary School,Moderate,No
East Valley (Spokane),Continuous Curriculum School,Low,No
East Valley (Spokane),East Farms Elementary School,Low,No
East Valley (Spokane),East Valley High School,,No
East Valley (Spokane),East Valley Middle School,Low,No
